Fecha,Producto,Total
09/07/2026,Zapatos,100.64
07/07/2026,Gorra,67.56
10/07/2026,Chompa,10.09
29/06/2026,Gorra,76.16
23/05/2026,Gorra,23.85
22/07/2026,Camiseta,70.33
14/06/2026,Chompa,67.44
04/07/2026,Camiseta,106.92
11/05/2026,Gorra,29.43
09/05/2026,Camiseta,64.86
14/07/2026,Camiseta,93.12
12/05/2026,Zapatos,44.47
07/07/2026,Chompa,65.36
08/06/2026,Zapatos,64.91
04/07/2026,Chompa,113.45
09/07/2026,Pantalón,111.35
29/05/2026,Zapatos,23.36
19/05/2026,Zapatos,57.52
13/05/2026,Gorra,55.97
31/05/2026,Pantalón,95.8
23/05/2026,Pantalón,24.01
21/05/2026,Zapatos,32.59
16/05/2026,Zapatos,107.11
24/05/2026,Gorra,26.08
28/06/2026,Chompa,53.23
26/06/2026,Gorra,47.94
15/05/2026,Pantalón,10.18
13/07/2026,Zapatos,57.33
06/05/2026,Zapatos,45.13
22/07/2026,Pantalón,65.37
12/05/2026,Camiseta,118.33
02/06/2026,Camiseta,17.41
07/06/2026,Camiseta,109.46
27/05/2026,Pantalón,92.65
27/06/2026,Pantalón,53.47
11/07/2026,Chompa,71.91
14/06/2026,Camiseta,39.25
27/05/2026,Zapatos,108.27
07/06/2026,Camiseta,79.06
06/06/2026,Camiseta,76.12
01/06/2026,Camiseta,37.62
19/05/2026,Zapatos,9.29
13/07/2026,Zapatos,111.79
07/06/2026,Chompa,22.47
10/07/2026,Gorra,113.07
24/05/2026,Pantalón,13.64
29/05/2026,Pantalón,78.41
10/07/2026,Gorra,40.48
07/07/2026,Gorra,38.3
06/05/2026,Pantalón,12.14
06/05/2026,Chompa,69.72
28/05/2026,Chompa,61.17
30/06/2026,Camiseta,81.73
28/06/2026,Zapatos,69.14
23/06/2026,Chompa,42.47
31/05/2026,Gorra,46.38
21/05/2026,Zapatos,118.82
10/05/2026,Gorra,9.6
23/07/2026,Pantalón,56.24
11/05/2026,Camiseta,82.51
21/06/2026,Chompa,83.1
09/06/2026,Chompa,35.13
10/06/2026,Camiseta,59.46
24/05/2026,Pantalón,57.93
06/06/2026,Pantalón,115.72
13/07/2026,Pantalón,35.38
12/06/2026,Gorra,47.94
04/05/2026,Pantalón,50.74
03/07/2026,Pantalón,64.31
29/05/2026,Gorra,64.53
04/05/2026,Camiseta,37.59
15/05/2026,Gorra,52.75
09/05/2026,Zapatos,10.52
11/06/2026,Gorra,17.46
10/07/2026,Gorra,81.64
19/07/2026,Zapatos,93.6
06/07/2026,Gorra,39.83
22/07/2026,Gorra,12.9
08/07/2026,Zapatos,90.19
07/07/2026,Gorra,109.91
07/07/2026,Chompa,101.51
06/05/2026,Chompa,97.37
02/06/2026,Camiseta,11.49
21/05/2026,Pantalón,115.47
21/06/2026,Zapatos,70.56
23/07/2026,Camiseta,78.14
04/06/2026,Zapatos,37.54
01/07/2026,Camiseta,91.81
07/07/2026,Chompa,18.3
10/07/2026,Camiseta,91.52
03/07/2026,Pantalón,98.63
06/06/2026,Gorra,89.69
30/05/2026,Gorra,90.86
01/07/2026,Zapatos,102.7
13/05/2026,Zapatos,109.97
09/06/2026,Camiseta,77.1
29/05/2026,Camiseta,75.17
15/06/2026,Pantalón,80.97
11/06/2026,Chompa,71.59
05/05/2026,Zapatos,14.79
07/06/2026,Camiseta,85.52
05/07/2026,Pantalón,87.39
09/06/2026,Zapatos,60.18
19/05/2026,Chompa,30.32
14/05/2026,Zapatos,9.96
01/07/2026,Camiseta,99.83
30/06/2026,Pantalón,51.33
30/05/2026,Camiseta,73.12
22/05/2026,Chompa,37.32
19/06/2026,Gorra,75.58
23/07/2026,Chompa,39.31
18/05/2026,Pantalón,33.91
05/07/2026,Zapatos,10.78
04/05/2026,Zapatos,84.34
24/06/2026,Pantalón,89.44
26/06/2026,Pantalón,50.12
19/05/2026,Pantalón,8.2
16/06/2026,Zapatos,21.44
29/05/2026,Camiseta,108.98
10/06/2026,Pantalón,49.69
23/06/2026,Zapatos,119.86
18/07/2026,Camiseta,48.4
27/06/2026,Pantalón,103.68
08/06/2026,Camiseta,13.78
09/06/2026,Gorra,35.92
07/06/2026,Zapatos,65.23
28/05/2026,Pantalón,95.94
27/06/2026,Camiseta,98.94
23/07/2026,Zapatos,110.3
13/07/2026,Chompa,30.78
14/05/2026,Camiseta,112.55
25/06/2026,Zapatos,76.87
21/05/2026,Pantalón,62.38
13/07/2026,Gorra,27.13
26/06/2026,Pantalón,39.56
05/06/2026,Pantalón,53.5
03/06/2026,Pantalón,62.12
23/06/2026,Camiseta,26.74
24/05/2026,Camiseta,31.28
06/07/2026,Chompa,32.64
15/06/2026,Zapatos,55.87
13/07/2026,Gorra,35.34
26/05/2026,Pantalón,70.26
13/06/2026,Gorra,49.25
15/07/2026,Gorra,107.37
25/06/2026,Zapatos,54.35
10/07/2026,Gorra,50.21
16/06/2026,Camiseta,63.79
16/07/2026,Pantalón,22.1
07/07/2026,Chompa,78.52
31/05/2026,Camiseta,38.35
04/06/2026,Zapatos,52.77
30/06/2026,Zapatos,114.84
06/05/2026,Gorra,11.61
03/07/2026,Chompa,62.86
13/05/2026,Zapatos,112.19
10/07/2026,Zapatos,116.89
04/06/2026,Camiseta,33.07
23/05/2026,Chompa,116.85
17/05/2026,Zapatos,17.52
09/05/2026,Camiseta,95.62
02/06/2026,Chompa,111.03
11/06/2026,Gorra,78.16
10/07/2026,Zapatos,86.24
18/05/2026,Camiseta,15.88
10/07/2026,Chompa,29.47
06/06/2026,Gorra,96.53
04/05/2026,Camiseta,68.2
01/07/2026,Pantalón,115.4
04/06/2026,Zapatos,66.94
13/07/2026,Gorra,11.28
25/06/2026,Pantalón,14.19
28/05/2026,Zapatos,107.1
26/06/2026,Camiseta,36.81
27/06/2026,Pantalón,33.4
08/05/2026,Pantalón,88.45
19/06/2026,Zapatos,30.18
10/06/2026,Chompa,15.55
06/07/2026,Gorra,42.91
28/05/2026,Gorra,60.09
06/06/2026,Pantalón,20.21
22/07/2026,Zapatos,76.33
01/06/2026,Zapatos,54.71
11/05/2026,Chompa,24.39
23/06/2026,Camiseta,31.85
19/07/2026,Gorra,54.52
11/05/2026,Gorra,52.05
13/06/2026,Camiseta,119.72
25/05/2026,Pantalón,29.36
10/07/2026,Zapatos,11.57
21/06/2026,Pantalón,118.32
29/06/2026,Gorra,20.2
14/05/2026,Pantalón,17.05
26/06/2026,Camiseta,70.85
30/05/2026,Zapatos,47.94
12/06/2026,Zapatos,17.83
03/07/2026,Gorra,49.74
30/06/2026,Gorra,44.21
03/07/2026,Camiseta,78.75
04/06/2026,Zapatos,12.55
08/05/2026,Zapatos,15.01
